"ID",Plant latin name,Family name,Common name,Crude drug latin name,Class of Coldness,Class of Warmness,Light condition,Preference of Soil,Requirement of Shading
131,Acacia senegal Willdenow,Leguminosae,,GUMMI ARABICUM,,,,,
25,Achyranthes bidentata Blume,Amaranthaceae,Two toothed chaff flower,ACHYRANTHIS RADIX,III 〜 V,65 〜 170,II 〜 V,,
24,Achyranthes fauriei Lév. et Vaniot,Amaranthaceae,Japanese chaff flower,ACHYRANTHIS RADIX,III 〜 V,65 〜 170,II 〜 V,,
77,Aconitum carmichaeli Debeaux,Ranunculaceae,,ACONITI RADIX,I～IV,45～100,I～III,,
78,Aconitum japonicum Thunb.,Ranunculaceae,,ACONITI RADIX,I～IV,45～100,I～III,,
62,Akebia quinata Decne.,Lardizabalaceae,"Chocolate vine, Five leaf akebia",AKEBIAE CAULIS,,,,,
63,Akebia trifoliata Koidz.,Lardizabalaceae,Three leaf akebia,AKEBIAE CAULIS,,,,,
172,Alisma orientale Juzepczuk,Alismataceae,,ALISMATIS RHIZOMA,,,,,
150,Aloe africana Miller,Liliaceae,Aloe,ALOE,,,,,
149,Aloe ferox Miller,Liliaceae,Aloe,ALOE,,,,,
151,Aloe spicata Baker,Liliaceae,Aloe,ALOE,,,,,
130,Alpinia officinarum Hance,Zingiberaceae,,ALPINIAE OFFICINARI RHIZOMA,,,,,
203,Amomum xanthioides,Zingiberaceae,,AMOMI SEMEN,,,,,
173,Anemarrhena asphodeloides Bunge,Liliaceae,,ANEMARRHENAE RHIZOMA,,,,,
51,Angelica acutiloba Kitagawa,Umbelliferae,Japanese angelica,ANGELICAE RADIX,II～V,55～120,II～IV,,
